antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Clear'}),frozenset({'High_Temp'}),0.606,0.64,0.308,0.5082508250825083,0.7941419141914192,1.0,-0.07984000000000002,0.7320805369127518,-0.3968348642093126,0.3283582089552239,-0.3659699303263659,0.4947504125412542
frozenset({'High_Wind'}),frozenset({'Clear'}),0.14,0.606,0.132,0.9428571428571428,1.5558698727015559,1.0,0.047159999999999994,6.894999999999998,0.41543340380549676,0.21498371335504887,0.854967367657723,0.5803394625176803
frozenset({'Low_Wind'}),frozenset({'Clear'}),0.342,0.606,0.228,0.6666666666666666,1.1001100110011002,1.0,0.02074799999999999,1.182,0.13829787234042545,0.3166666666666667,0.15397631133671738,0.5214521452145214
frozenset({'Medium_Temp'}),frozenset({'Clear'}),0.348,0.606,0.288,0.8275862068965517,1.3656538067599864,1.0,0.07711199999999999,2.2852,0.4106595092024539,0.43243243243243246,0.562401540346578,0.6514168658245134
frozenset({'Clear'}),frozenset({'Medium_Visibility'}),0.606,1.0,0.606,1.0,1.0,1.0,0.0,inf,0.0,0.6060000000000001,0.0,0.8029999999999999
frozenset({'Medium_Visibility'}),frozenset({'Clear'}),1.0,0.606,0.606,0.606,1.0,1.0,0.0,1.0,0.0,0.6060000000000001,0.0,0.8029999999999999
frozenset({'Clear'}),frozenset({'Severity_2'}),0.606,0.616,0.404,0.6666666666666667,1.0822510822510825,1.0,0.030704000000000065,1.1520000000000004,0.1928934010152288,0.49388753056234724,0.13194444444444464,0.6612554112554113
frozenset({'Severity_2'}),frozenset({'Clear'}),0.616,0.606,0.404,0.6558441558441559,1.0822510822510825,1.0,0.030704000000000065,1.1448301886792456,0.19791666666666705,0.49388753056234724,0.1265080097567409,0.6612554112554113
frozenset({'Severity_3'}),frozenset({'Clear'}),0.382,0.606,0.2,0.5235602094240838,0.8639607416239006,1.0,-0.03149199999999999,0.826967032967033,-0.2030536713692518,0.25380710659898476,-0.20923804714699545,0.42679660636220695
frozenset({'Clouds'}),frozenset({'High_Temp'}),0.366,0.64,0.304,0.8306010928961749,1.2978142076502732,1.0,0.06975999999999999,2.125161290322581,0.36194587414909507,0.43304843304843305,0.5294474802671525,0.6528005464480875
frozenset({'Clouds'}),frozenset({'Medium_Visibility'}),0.366,1.0,0.366,1.0,1.0,1.0,0.0,inf,0.0,0.366,0.0,0.683
