Severity,temp_f,humidity,visibility,wind_speed
2,60.03,77,10000,6.91
2,65.93,40,10000,4.61
2,60.04,76,10000,6.91
2,58.32,78,10000,9.22
2,60.51,72,10000,8.05
3,60.49,71,10000,2.24
3,59.14,71,10000,1.01
3,57.09,80,10000,4.61
3,64.04,34,10000,3.44
2,60.24,73,10000,6.91
3,60.37,72,10000,8.05
3,57.09,80,10000,4.61
3,58.15,75,10000,12.66
2,64.42,46,10000,6.91
2,53.96,83,10000,5.01
2,60.69,70,10000,9.22
3,64.8,45,10000,4.61
3,60.06,71,10000,8.05
2,58.42,66,10000,6.91
2,58.5,76,10000,12.66
3,60.24,72,10000,8.05
2,58.23,81,10000,4.61
3,59.23,69,10000,8.05
3,60.24,74,10000,8.05
2,60.76,70,10000,9.22
3,60.84,69,10000,9.22
2,60.94,69,10000,9.22
3,59.7,70,10000,4.61
3,59.79,72,10000,5.01
2,59.9,83,10000,4.0
2,58.26,77,10000,10.36
3,59.95,75,10000,8.05
2,58.33,77,10000,12.66
2,50.47,75,10000,1.3
3,59.56,73,10000,6.91
3,59.09,70,10000,4.61
2,51.85,27,10000,5.01
2,57.96,74,10000,4.61
2,59.29,70,10000,9.22
2,60.03,77,10000,3.0
3,58.5,77,10000,6.91
2,57.63,78,10000,5.99
2,63.14,55,10000,6.91
3,59.65,72,10000,8.05
3,64.99,51,10000,4.61
3,67.12,30,10000,11.5
2,60.87,69,10000,9.22
2,58.44,76,10000,10.36
2,60.71,70,10000,9.22
2,58.39,76,10000,10.36
2,58.59,76,10000,10.36
3,65.48,43,10000,4.61
2,59.32,72,10000,5.01
3,60.71,70,10000,8.05
2,59.23,75,10000,8.05
2,66.69,36,10000,1.01
3,58.91,71,10000,4.61
2,58.59,77,10000,10.36
2,60.78,68,10000,9.22
2,57.07,71,10000,4.0
2,58.24,82,10000,9.22
2,58.62,76,10000,12.66
2,60.75,70,10000,9.22
2,58.42,77,10000,12.66
2,58.98,72,10000,0.0
2,58.44,77,10000,4.36
2,54.37,87,10000,6.11
2,58.46,76,10000,12.66
3,58.59,76,10000,8.05
2,60.67,68,10000,9.22
3,59.95,75,10000,8.05
2,59.43,71,10000,8.05
3,60.98,70,10000,9.22
3,59.23,69,10000,8.05
2,53.55,80,10000,0.0
3,58.23,84,10000,9.22
3,57.27,74,10000,4.61
2,60.8,71,10000,9.22
2,59.11,72,10000,0.0
2,48.09,76,10000,1.99
2,58.24,76,10000,10.36
2,56.01,77,10000,4.61
3,66.47,47,10000,3.44
2,47.28,81,10000,2.35
3,59.65,72,10000,8.05
2,58.3,77,10000,12.66
3,59.5,71,10000,0.0
2,57.96,76,10000,1.99
2,58.5,76,10000,12.66
2,60.87,69,10000,9.22
2,59.74,74,10000,8.05
2,58.24,83,10000,16.11
3,60.24,74,10000,8.05
2,62.38,71,10000,5.01
2,61.79,70,10000,5.01
3,60.33,73,10000,8.05
2,58.26,77,10000,12.66
3,58.15,77,10000,12.66
2,59.45,76,10000,7.0
3,60.28,73,10000,8.05
3,60.69,71,10000,8.05
2,58.32,77,10000,12.66
2,64.04,50,10000,6.91
2,61.88,70,10000,1.01
4,56.8,77,10000,4.61
2,60.31,73,10000,4.61
3,60.62,69,10000,9.22
2,58.37,77,10000,3.0
3,60.57,70,10000,8.05
2,59.81,72,10000,8.05
2,61.74,72,10000,3.44
2,60.35,66,10000,12.66
2,58.51,76,10000,12.66
2,58.1,83,10000,9.22
2,59.83,73,10000,1.39
2,60.49,68,10000,9.22
2,50.2,82,10000,1.77
2,58.66,76,10000,10.36
3,65.93,27,10000,11.5
2,58.5,76,10000,12.66
