lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
38.362831,-122.267197,Clear,clear sky,60.03,77,10000,6.91,0
34.022625,-118.156616,Clear,clear sky,65.93,40,10000,4.61,0
38.25462,-122.335907,Clear,clear sky,60.04,76,10000,6.91,0
38.003071,-121.337051,Clear,clear sky,58.32,78,10000,9.22,0
37.403236,-122.046913,Clear,clear sky,60.51,72,10000,8.05,0
37.927975,-122.322876,Clouds,scattered clouds,60.49,71,10000,2.24,0
37.905491,-122.069656,Clear,clear sky,59.14,71,10000,1.01,0
37.741356,-121.580826,Clear,clear sky,57.09,80,10000,4.61,0
34.20742,-118.217354,Clear,clear sky,64.04,34,10000,3.44,0
38.11861,-122.285324,Clear,clear sky,60.24,73,10000,6.91,0
37.690422,-122.135468,Clouds,scattered clouds,60.37,72,10000,8.05,0
37.741356,-121.580826,Clear,clear sky,57.09,80,10000,4.61,0
38.55249,-121.694313,Clear,clear sky,58.15,75,10000,12.66,0
34.054878,-118.257164,Smoke,smoke,64.42,46,10000,6.91,0
38.662716,-120.937653,Clouds,overcast clouds,53.96,83,10000,5.01,0
38.216373,-122.603455,Clear,clear sky,60.69,70,10000,9.22,0
34.021053,-118.195251,Clear,clear sky,64.8,45,10000,4.61,0
37.711575,-122.127388,Clouds,scattered clouds,60.06,71,10000,8.05,0
39.465603,-121.521286,Clear,clear sky,58.42,66,10000,6.91,0
38.574345,-121.401512,Clear,clear sky,58.5,76,10000,12.66,0
37.710648,-122.166687,Clouds,scattered clouds,60.24,72,10000,8.05,0
37.789589,-121.546715,Clear,clear sky,58.23,81,10000,4.61,0
37.701515,-122.021149,Clear,clear sky,59.23,69,10000,8.05,0
37.80814,-122.367226,Clouds,scattered clouds,60.24,74,10000,8.05,0
37.383713,-121.969505,Clouds,scattered clouds,60.76,70,10000,9.22,0
37.363445,-121.897217,Clouds,scattered clouds,60.84,69,10000,9.22,0
37.393295,-121.919548,Clouds,scattered clouds,60.94,69,10000,9.22,0
37.588879,-121.871056,Clear,clear sky,59.7,70,10000,4.61,0
38.005569,-122.082512,Clear,clear sky,59.79,72,10000,5.01,0
36.540611,-121.912491,Clear,clear sky,59.9,83,10000,4,0
38.692078,-121.262352,Clear,clear sky,58.26,77,10000,10.36,0
37.782742,-122.395515,Clouds,scattered clouds,59.95,75,10000,8.05,0
38.56031,-121.457298,Clear,clear sky,58.33,77,10000,12.66,0
38.652042,-122.599777,Clear,clear sky,50.47,75,10000,1.3,0
38.276428,-122.047279,Clear,clear sky,59.56,73,10000,6.91,0
37.811298,-121.992989,Clear,clear sky,59.09,70,10000,4.61,0
34.322731,-117.398438,Clouds,overcast clouds,51.85,27,10000,5.01,0
38.622662,-122.878296,Clear,clear sky,57.96,74,10000,4.61,0
37.215031,-121.988029,Clouds,scattered clouds,59.29,70,10000,9.22,0
37.920368,-122.50959,Clouds,few clouds,60.03,77,10000,3,0
38.744102,-121.270569,Clear,clear sky,58.5,77,10000,6.91,0
38.743469,-121.170799,Clouds,overcast clouds,57.63,78,10000,5.99,0
33.913586,-118.361275,Smoke,smoke,63.14,55,10000,6.91,0
37.794292,-122.206039,Clouds,scattered clouds,59.65,72,10000,8.05,0
33.813431,-118.167686,Clear,clear sky,64.99,51,10000,4.61,0
34.067459,-117.583717,Clouds,broken clouds,67.12,30,10000,11.5,0
37.377357,-121.945442,Clouds,scattered clouds,60.87,69,10000,9.22,0
38.638889,-121.327972,Clear,clear sky,58.44,76,10000,10.36,0
38.212002,-122.549248,Clear,clear sky,60.71,70,10000,9.22,0
38.697781,-121.40136,Clear,clear sky,58.39,76,10000,10.36,0
38.609013,-121.270859,Clear,clear sky,58.59,76,10000,10.36,0
33.987499,-118.13755,Clear,clear sky,65.48,43,10000,4.61,0
38.036194,-121.969917,Clear,clear sky,59.32,72,10000,5.01,0
37.50425,-121.933205,Clear,clear sky,60.71,70,10000,8.05,0
37.752502,-122.403008,Clouds,scattered clouds,59.23,75,10000,8.05,0
33.872032,-117.665222,Clear,clear sky,66.69,36,10000,1.01,0
37.701576,-121.872177,Clear,clear sky,58.91,71,10000,4.61,0
38.630802,-121.216919,Clear,clear sky,58.59,77,10000,10.36,0
37.339455,-121.852043,Clouds,scattered clouds,60.78,68,10000,9.22,0
37.162212,-121.983818,Clouds,overcast clouds,57.07,71,10000,4,0
37.936695,-121.297684,Clear,clear sky,58.24,82,10000,9.22,0
38.568787,-121.330902,Clear,clear sky,58.62,76,10000,12.66,0
37.385822,-121.976852,Clouds,scattered clouds,60.75,70,10000,9.22,0
38.455986,-121.405205,Clear,clear sky,58.42,77,10000,12.66,0
38.017952,-121.894058,Clear,clear sky,58.98,72,10000,0,0
37.143131,-122.131905,Clouds,overcast clouds,58.44,77,10000,4.36,0
38.684624,-123.426376,Clear,clear sky,54.37,87,10000,6.11,0
38.598305,-121.415367,Clear,clear sky,58.46,76,10000,12.66,0
37.719162,-122.448273,Clouds,scattered clouds,58.59,76,10000,8.05,0
37.318287,-121.831551,Clouds,scattered clouds,60.67,68,10000,9.22,0
37.785542,-122.39138,Clouds,scattered clouds,59.95,75,10000,8.05,0
37.303501,-122.035385,Clouds,scattered clouds,59.43,71,10000,8.05,0
37.429478,-121.918472,Clouds,scattered clouds,60.98,70,10000,9.22,0
37.701103,-122.021164,Clear,clear sky,59.23,69,10000,8.05,0
38.73175,-120.785744,Clear,clear sky,53.55,80,10000,0,0
37.893452,-121.282349,Clear,clear sky,58.23,84,10000,9.22,0
37.703403,-121.736855,Clear,clear sky,57.27,74,10000,4.61,0
38.28907,-122.490173,Clear,clear sky,60.8,71,10000,9.22,0
38.011936,-121.867256,Clear,clear sky,59.11,72,10000,0,0
38.761196,-120.570251,Clear,clear sky,48.09,76,10000,1.99,0
38.687771,-121.343819,Clear,clear sky,58.24,76,10000,10.36,0
37.694099,-121.675606,Clear,clear sky,56.01,77,10000,4.61,0
33.725822,-117.803909,Clouds,overcast clouds,66.47,47,10000,3.44,0
39.284885,-120.964943,Clouds,broken clouds,47.28,81,10000,2.35,0
37.799576,-122.222092,Clouds,scattered clouds,59.65,72,10000,8.05,0
38.544781,-121.473984,Clear,clear sky,58.3,77,10000,12.66,0
37.920948,-122.062195,Clear,clear sky,59.5,71,10000,0,0
38.101051,-121.30632,Clear,clear sky,57.96,76,10000,1.99,0
38.617699,-121.371597,Clear,clear sky,58.5,76,10000,12.66,0
37.315899,-121.97583,Clouds,scattered clouds,60.87,69,10000,9.22,0
37.527058,-122.270821,Clear,clear sky,59.74,74,10000,8.05,0
37.761093,-120.995758,Clear,clear sky,58.24,83,10000,16.11,0
37.808498,-122.366852,Clouds,scattered clouds,60.24,74,10000,8.05,0
36.977036,-121.905731,Clouds,overcast clouds,62.38,71,10000,5.01,0
36.961193,-121.86293,Clouds,overcast clouds,61.79,70,10000,5.01,0
37.777473,-122.236794,Clouds,scattered clouds,60.33,73,10000,8.05,0
38.553833,-121.474007,Clear,clear sky,58.26,77,10000,12.66,0
38.5368,-121.515038,Clear,clear sky,58.15,77,10000,12.66,0
37.804214,-122.472252,Clouds,scattered clouds,59.45,76,10000,7,0
37.824085,-122.267754,Clouds,scattered clouds,60.28,73,10000,8.05,0
37.51136,-121.937637,Clear,clear sky,60.69,71,10000,8.05,0
38.496132,-121.441521,Clear,clear sky,58.32,77,10000,12.66,0
33.989285,-118.243286,Smoke,smoke,64.04,50,10000,6.91,0
36.946751,-121.847122,Clouds,overcast clouds,61.88,70,10000,1.01,0
37.717979,-121.701424,Clear,clear sky,56.8,77,10000,4.61,0
38.464092,-122.726822,Clear,clear sky,60.31,73,10000,4.61,0
37.34547,-121.922981,Clouds,scattered clouds,60.62,69,10000,9.22,0
37.852909,-122.492371,Clouds,scattered clouds,58.37,77,10000,3,0
37.495384,-121.923294,Clear,clear sky,60.57,70,10000,8.05,0
37.349277,-122.060059,Clear,clear sky,59.81,72,10000,8.05,0
33.203228,-117.383598,Clear,clear sky,61.74,72,10000,3.44,0
36.859879,-121.604027,Clear,clear sky,60.35,66,10000,12.66,0
38.610462,-121.382965,Clear,clear sky,58.51,76,10000,12.66,0
37.779552,-121.314514,Clear,clear sky,58.1,83,10000,9.22,0
38.517776,-122.488297,Clouds,few clouds,59.83,73,10000,1.39,0
37.301517,-121.876823,Clouds,scattered clouds,60.49,68,10000,9.22,0
39.233021,-121.038948,Clouds,broken clouds,50.2,82,10000,1.77,0
38.660831,-121.337288,Clear,clear sky,58.66,76,10000,10.36,0
33.958836,-117.30957,Clear,clear sky,65.93,27,10000,11.5,0
38.642567,-121.35717,Clear,clear sky,58.5,76,10000,12.66,0
38.119484,-122.713844,Clear,clear sky,58.46,70,10000,9.22,0
37.535507,-122.075211,Clear,clear sky,60.1,72,10000,8.05,0
37.851658,-121.282875,Clear,clear sky,58.21,85,10000,9.22,0
37.700951,-121.80175,Clear,clear sky,58.19,72,10000,4.61,0
37.932465,-122.403297,Clouds,scattered clouds,60.4,74,10000,1.81,0
38.637184,-121.38298,Clear,clear sky,58.48,76,10000,12.66,0
37.35117,-120.623901,Clear,clear sky,59.07,78,10000,10.36,0
37.38237,-121.904358,Clouds,scattered clouds,60.82,69,10000,9.22,0
33.974655,-118.280991,Smoke,smoke,63.79,53,10000,6.91,0
37.470013,-121.908699,Clouds,scattered clouds,60.46,70,10000,9.22,0
38.270065,-122.331276,Clear,clear sky,60.26,74,10000,6.91,0
37.751484,-121.470055,Clear,clear sky,58.35,81,10000,4.61,0
37.363445,-121.897217,Clouds,scattered clouds,60.84,69,10000,9.22,0
34.018009,-118.052849,Clear,clear sky,66.49,36,10000,3.44,0
34.010056,-117.823219,Clear,clear sky,65.84,37,10000,3.44,0
37.507488,-121.967377,Clear,clear sky,60.69,71,10000,8.05,0
38.58131,-121.463463,Clear,clear sky,58.32,77,10000,12.66,0
38.028133,-122.537819,Clear,clear sky,59.74,78,10000,3,0
37.961742,-122.509804,Clouds,few clouds,59.9,79,10000,3,0
38.519505,-121.521988,Clear,clear sky,58.17,77,10000,12.66,0
37.923294,-122.061287,Clear,clear sky,59.5,71,10000,0,0
37.25835,-121.858658,Clouds,scattered clouds,60.37,68,10000,9.22,0
37.700111,-121.778809,Clear,clear sky,57.74,73,10000,4.61,0
38.966942,-121.020134,Clear,clear sky,53.2,81,10000,4.61,0
32.760567,-117.19442,Clouds,broken clouds,63.16,54,10000,5.75,0
37.348045,-122.059784,Clear,clear sky,59.81,72,10000,8.05,0
38.467033,-123.050957,Clear,clear sky,56.84,80,10000,4.14,0
37.466541,-121.905518,Clouds,scattered clouds,60.46,70,10000,9.22,0
34.024857,-118.42836,Smoke,smoke,64.2,49,10000,6.91,0
37.701649,-121.911278,Clear,clear sky,59,71,10000,4.61,0
37.932465,-122.403297,Clouds,scattered clouds,60.4,74,10000,1.81,0
34.038456,-118.27401,Smoke,smoke,64.42,48,10000,6.91,0
38.640575,-121.477364,Clear,clear sky,58.32,76,10000,12.66,0
34.282394,-118.777199,Clouds,overcast clouds,66.61,26,10000,7,0
38.671062,-121.591156,Clouds,few clouds,57.96,77,10000,12.66,0
37.838303,-121.61219,Clear,clear sky,58.21,80,10000,4.61,0
32.812962,-116.961716,Clear,clear sky,63.54,48,10000,0,0
38.637184,-121.38298,Clear,clear sky,58.48,76,10000,12.66,0
37.720112,-121.658638,Clear,clear sky,54.86,78,10000,4.61,0
37.765285,-122.404907,Clouds,scattered clouds,59.77,75,10000,8.05,0
33.960148,-118.244179,Smoke,smoke,63.81,53,10000,6.91,0
38.252132,-122.489708,Clear,clear sky,60.31,71,10000,9.22,0
37.328884,-121.870255,Clouds,scattered clouds,60.6,68,10000,9.22,0
38.233418,-122.618179,Clear,clear sky,60.49,69,10000,9.22,0
38.536011,-121.953125,Clear,clear sky,59.27,71,10000,6.91,0
38.29512,-122.252808,Clear,clear sky,59.7,76,10000,6.91,0
34.018009,-118.052849,Clear,clear sky,66.49,36,10000,3.44,0
38.526783,-121.952782,Clear,clear sky,58.71,74,10000,6.91,0
34.124657,-118.079361,Clouds,overcast clouds,66.63,33,10000,1.7,0
36.493896,-121.427475,Clouds,overcast clouds,62.33,77,10000,7.2,0
38.769897,-121.24855,Clear,clear sky,57.54,78,10000,11.5,0
38.429111,-121.425125,Clear,clear sky,58.41,78,10000,12.66,0
38.63332,-121.328156,Clear,clear sky,58.33,76,10000,12.66,0
37.980579,-122.296936,Clouds,scattered clouds,60.08,71,10000,1.45,0
37.507153,-122.338486,Clear,clear sky,57.74,75,10000,9.22,0
37.651726,-122.390129,Clouds,scattered clouds,59.41,76,10000,9.22,0
38.757442,-120.593201,Clear,clear sky,48.33,76,10000,1.99,0
